category,title,content
金融,银行卡四件套大量有货1200一套诚信第一服务第一,注* 15美金=100rmb=1份 例如只需要基本四件套拍12份基本4件套包括1张身份证正反照片+1张银行卡，可指定开通哪家银行+1张手机卡，可指定电信/联通/移动任何一家，送服务密码。+1个网银盾，会携带网银密码=12份需开通国际漫游+1份需开通支付宝+1份需开通微信+1份带交易所(实名）一个+3份带身份证原件带磁+10份 （需要其他定制请详谈）关于售后：保质期到你手的2个月 期间出现补卡，挂卡，我方一切问题无条件更换货物 每一张卡保额2W人民币 ，司法冻结不保，正常的风控问题需要收取总额度的百分之20关于发货：本人每天都会上线，需要上述内容的请直接拍下，拍下后直接留言地址信息，需求，比如：需要实名支付宝微信的按上述要求拍下18份，留言方式：支付宝（人脸）+微信实名+收货地址 已付18份 客户的货物在拍下的第二天统一发货，单号发货后会在留言显示关于放款：收货之后确认无误请于二个工作日内主动放币，货物对于某些人而言就是一次性用品，希望老板能够给予理解!体谅！
金融,自己实体工厂开银行卡四件套900RMB一套稳定,一手卡源，小白开卡，安全放心，全新开户没交易记录。质保90天！！(不可控的司法冻结不在售后范围)商品：四件套有：身份证，银行卡，手机号码卡，U盾用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽，方便走账，过账，做生意，汇款.送礼各种商业用途，保护自己的隐私质保三个月过后如还需要的话可续租5份每月！！质量有保证（不会出现黑吃黑，取现，网银转账）都是自己人带队去银行开卡的，卡主主要为工厂工人，出现资金问题可追回！！发货：拍下后请留下收货地址和联系方式，一般当天中午十二点前下单当天发，十二点过后下单隔天发！默认顺丰包邮！请到货签收后两天内确认无问题放下款，超过签收两天后不予退货，这东西对于有些人来说就是一次性消耗品！如出现无效卡无磁卡可退换！注意！！产品的售出不是我们的目的，持久的合作才是我们的宗旨！欢迎有需要的朋友来合作，一次生意，终身合作！
教程,新型组织卖淫详细教程（原创首发）,1，如果你认为卖淫嫖娼仅仅是炮房，按摩店，桑拿，spa，外围女，楼凤，上门兼职等形式，那你可就错了。卖淫项目形式多样。2，你常见的大部分卖淫嫖娼形式，都要上税，而这个给共产党上的税又是占了大头，而且还不能保证绝对安全，都是党想搞你就搞你。扫黑除恶扫黄正火热，逼价骤升，很容易被党拿出来做替罪羊。你可以没有小姐，从零开始，教程都会教你。当然你有小姐最好了，直接上手！如果你有外围资源那种水平的小姐，那你就赚大了。3，本教程就是教你一个不用上税，又安全新颖的卖淫形式。教程步骤详细，包括教你如何组织小姐，寻找嫖客，具体流程，话术，方案组合，注意事项等等。4，本卖淫形式，目前无人在做，绝对蓝海，绝对安全与新颖。5，拍下自动显示MEGA链接，安全保密，翻墙后谷歌浏览器打开下载，没问题请及时放币。
教程,职业做黑产/网警/黑客/记者必备的知识,在你的同事或朋友被警方带走时 他们的电脑已经被警方没收的时候 一切都已经太迟了。也就是说如果你等到那时候才与工作相关的同事或朋友讨论如何删除敏感的材料 这可能会让你陷入被认为尝试销毁证据的罪名的局面。你必须在这些情形发生之前先准备好 必须知道在事情发生之前、之中、之后分别要怎么做。当然 也必须知道你的朋友和同事会怎么做。你需要有一个计划。唯一的方式就是提前讨论 协商好如果在其中某人被带走或电脑被没收的情形下你或其他人应该如何应对。是否所有人都将手机原厂设置呢？还是再三确定收件箱是否为空？还是你们所有人都重设密码 将电脑格式化？不管你们怎么决定 最重要的是所有人都做同样的操作 并且知道对方会怎么做这份教程讲的很全面 操作系统包括(WIN+OSX+安卓+苹果)还会教你怎么去设置教程会让你学到如何安全的进行通讯防止你的设备离开你的时候 有效的保证不会被敌人找到证据关于密码的保护 怎么做才能不被社工如何安全的去使用浏览器以及避免泄露历史痕迹从网上下载过来的文件正确的去保存访问敏感信息的时候使有效避免IP/MAC地址泄露尽可能的加密你的证据信息 防止证据被对方拿到如何去加密你的硬盘发送一些敏感信息的时候应该用什么样的加密软件还有邮箱的安全设置删除照片里的EXIF元素据防止被定位有效的清除电脑操作系统痕迹和证据防止你的手机被监听针对文件恢复处理方式教程里面讲的远不止这些 因为太多知识点 就不一一的罗列了无论是做职业黑产 网警 黑客 记者 都很合适下载完成验货没有问题后 还望主动放款
服务,代做病毒程序（重发）,1.上次的帖子可能表意不清，非常抱歉，特此重发。2.典型的远程木马（单个电脑）价格：1.5k；典型的远程木马（批量电脑）：3.5k；典型的勒索病毒：2.5k其中，“典型”的勒索病毒/木马指的是：（1）伪装成其他软件（2）绕过360、腾讯（3）自启动白名单如果您需要以下服务，可能价格将会上调：（1）隐藏运行（绕过UA）（2）伪造签名（3）通过漏洞传播（4）绕过360等的文件保护3.以上程序包更新1个月，1个月后500/2个月（论坛私聊联系）4.如果您不需要典型病毒的功能，可以在本帖下留言商议价格。5.为了防止部分买家钓鱼执法，针对每个客户我们都会编写新的病毒，保证您的代码在停止更新后也不会在您无操作的情况下被杀毒引擎收录。6.如果您不需要更新且对是否被杀毒软件收录不在意，可以购买共用版：单个电脑远程木马：0.5k；批量电脑远程木马：1k；勒索病毒：1k7.”共用版“除了会让多个客户共同使用外其他使用意外其他特性与典型病毒一致。8.所有病毒均使用了混淆函数及反解编译代码，同时不提供源码，请知晓。9.一般木马发货时间大概是3-7天，买前请留言确保卖家正常；可加急发货，大概1-3天内发货，加价50010.在没有bug的情况下禁止退货11.买前请留言确保卖家在线，不接受除论坛外其他的交易方式。
服务,杀手  打手   私人订制    服务详细版,杀手 打手 代报复 投毒 泼油漆 砸车等等手段报复你讨厌的对象。杀单 5万美金投毒 3万美金打残 2万美金重伤 1.5万美金轻伤 5000美金门口泼油漆，砸车，车上涂鸦 3000美金其他更多私人订制请留言！！！！一般24小时内回复
网贷,网贷一手高炮实时1.5块 隔夜1块 欢迎老板包库,刚出库的一个网贷总库，几十个高炮口子借款总库，每天日量5000条左右，整库上百万条左右，每天实时数据1.5元一条。隔天的1元一条，周内的6毛一条，月内的3毛一条。3个月内的，2毛一条。口子基本都是属于高炮类。下款基本是砍头息，实时数据1000条起订，隔天的1000条起订。周内的2000条起订月内的4000条起订，3个月内的10000条起订。才出的库，格式图片如下，需要多少金额拍够，留言要什么类型的，这边上线看到了就会发货。0.001只是为了方便下单，并不是最终价格。看好了。一手库。来个老板包库的，有什么不明白的可留下TG。我会联系你。站内担保交易。或者看我用户名联系 TG，格式如下
网贷,一个网贷催收后台，数据还在更新,这是一个刚开不久的新站，这个平台名字在国内也有一定的名声还在运营并且有不小的发展潜力，数据量会不断增加我们所出售的是催收员的账号信息，可以通过登陆该账号对网站内的贷款信息进行查看，管理。包括手动修改借款为已还款，包括实时贷款详细信息的查看等权限我相信它能给您带来利益。本人的所有商品都是高质量的，产品也只出售一次并且出售后我们会将它完全忘记，不会再有第二次销售如果有更多的问题欢迎向我们咨询在购买之前请您确认您已了解：我所出售的物品拥有可复制性质，一经销售不予退换
菠菜,菠菜用户数据1W条+某菠菜网站运营电脑资料打包,菠菜数据有新有老，介意的勿拍无意中得到了一个菠菜网站运营者电脑打包的资料可以参考下别人是如何运行菠菜资料此商品适合有猎奇心里的朋友
菠菜,将近4G的菠菜老数据,一共是3.9G都是一些菠菜的老数据，老数据，老数据（重要的事情说三遍）就卖个白菜价，百度网盘发货。数据里面有 姓名，电话，邮箱，等。。一经售出 不能以我早就有了，或者不是最近的，或者对你没用来退款。
实物,小7一把，带4发子弹,云南兄弟可面交，以前摸回来的，一直没机会露手，哈带4发子弹7000毛爷
实物,金三角上等K、红豆、猪肉、神仙水…,绝对高纯度金三角一手货源。神仙水500/包 十包起发k 300/k 30k起发猪肉 150/k 50k起发红豆14/个 5000个起发包邮，按量拍，要什么可以咨询。
其他,吹牛大王的私拍,兼职粉，保证真实量，100个，80元一个，不接受除真实粉以外的理由退款。3.58，百姓，领英，boss兼职网赚粉：80/个，百分百真实量，假量不要钱
其他,源码-漏洞靶场源码--这是能让你成为渗透大佬的一步--（限量自动发货）,此靶场环境，基础环境是基于PHP/mysql制作搭建而成，中级环境与高级环境分别都是由互联网漏洞事件而收集的漏洞存在的操作环境。部分漏洞是基于windows操作系统的漏洞所以将其的web环境都装在了一个纯净版的windows 2003的虚拟机中。靶场包含漏洞环境get注入图片破解信息收集练习——目录端口收集暴力破解练习x-forwarded-for注入支付漏洞垂直越权CSRFurl跳转GET任意文件下载POST任意文件下载无验证上传反射型XSS存储型XSS校验扩展名上传验证来源去向的url跳转文件包含POST文件包含HOST注入APK破解延时注入DZ7.2论坛sql注入aspcms注入phpmyadmin任意文件包含漏洞齐博系统SQL注入海盗云商getshellPHP168任意代码执行GET SHELLecshop 注入ShopXp系统SQL注射漏洞Dcore(轻型CMS系统)注入漏洞MetInfo 任意文件包含漏洞可getshellMetinfo news.php盲注Metinfo img.php盲注万众电子期刊在线阅读系统PHP和ASP最新版本通杀SQL注入BEESCMS sql注入，无视防御ourphp 注入phpwind 命令执行漏洞metinfo 任意用户密码修改DZ 3.2 存储型XSSDedeCMS flink.php友情链接注入DedeCms?recommend.php注入BEESCMS 小于等于V4四处注入+无需密码直接进后台海洋 x-forwarded-for注入php截断利用st2-016jboss命令执行tomcat弱口令hfs远程命令执行st2-052命令执行flash远程命令执行gh0st远程溢出IIS6.0远程溢出虚拟机纯净版系统，无任何补丁（也就是意味着附带所有windows 2003的漏洞包括 ms08-067、ms17-010、ms15-015等所有漏洞）注意：由于漏洞过多，非常不建议提取出来后搭建在真实环境中，可搭建用于渗透训练。本人在本网站的其他贴子如下（因为以下链接没含有你的sid，所以按以下方法跳转，需要重新登录，如果你有好的不用重新登录的办法，还请您留言赐教）：17600个暗网网址--含黑客组织Anonymous活跃地址（自动发货)http://almvdkg6vrpmkvk4.onion/viewtopic.php?t=18257（自动发货）暗网--脚本翻译法--必看--秒杀所有翻译插件 http://almvdkg6vrpmkvk4.onion/viewtopic.php?t=15093安全-渗透大佬-黑帽精品工具集--渗透技术大佬的百宝http://almvdkg6vrpmkvk4.onion/viewtopic.php?t=17693一个后台扫描器--time00ls大牛作品 http://almvdkg6vrpmkvk4.onion/viewtopic.php?t=17692无视安全狗的拦截--过狗菜刀-（限量自动货)http://almvdkg6vrpmkvk4.onion/viewtopic.php?t=17691源码--一款全自动网页制作系统源码--（限量自动发货） http://almvdkg6vrpmkvk4.onion/viewtopic.php?t=17675源码-漏洞靶场源码--这是能让你成为渗透大佬的一步--（限量自动发货）http://almvdkg6vrpmkvk4.onion/viewtopic.php?t=17673MD5查询网站cmd5的源码--（限量自动发货）http://almvdkg6vrpmkvk4.onion/viewtopic.php?t=17672电脑数据恢复工具--一个能让你轻松搞定数据恢复的工具 http://almvdkg6vrpmkvk4.onion/viewtopic.php?t=17301安卓数据恢复工具--恢复因删除-粉碎-刷机等丢失的任何照片http://almvdkg6vrpmkvk4.onion/viewtopic.php?t=17293情色-源码-91pron无限制看片神器apk--无毒（提供apk源码）http://almvdkg6vrpmkvk4.onion/viewtopic.php?t=17180国家图书馆-出版图书-报刊-免费看书神器-推荐！ http://almvdkg6vrpmkvk4.onion/viewtopic.php?t=15107性技巧知识-美女研究生语音授课--会让你成为性爱大师--微信私教课 http://almvdkg6vrpmkvk4.onion/viewtopic.php?t=15104手机远程控制电脑的APP，破解，无需付费 http://almvdkg6vrpmkvk4.onion/viewtopic.php?t=12993黑客解决各大视频网（腾讯、爱奇艺、优酷等）VIP限制的方法出售 http://almvdkg6vrpmkvk4.onion/viewtopic.php?t=12977外国人身份在线生成网站http://almvdkg6vrpmkvk4.onion/viewtopic.php?t=18807
其他,潘金莲的私人专拍,1T旧社工库 （电报群发的广告指定的哪些群）
